id,host_id,bathrooms_text,bedrooms,beds
40560656,273324213,,,
41740615,268417148,,,
41740622,269311462,,,
41792753,197053492,,,
42065543,307634016,,,
42065545,310429455,,,
42065547,308721299,,,
42065555,309714886,,,
42065562,307633956,,,
42065563,309772430,,,
42065564,314151200,,,
42228997,314197504,,,
42279171,265458818,,,
42384501,262458398,,,
43035720,318559292,,,
43078550,334334264,,,
43078552,342053968,,,
43205598,335389657,,,
43247386,335072254,,,
43247472,324955773,,,
43247631,318788301,,,
44567521,360662584,,,
46059074,373324108,,,
46087899,373522899,,,
46251446,374516933,,,
46336133,375044940,,,
46723973,376877842,,,
48089897,261016212,,,
48325676,390077597,,,
48417136,390810530,,,
10253315,27431753,1 bath,3,5
17952277,62685070,1 shared bath,1,1
21044649,151547086,1 shared bath,2,2
34546192,1542506,1 private bath,1,1
44474349,187536544,1 private bath,2,5
45485378,367724384,1 private bath,,
47922647,33620899,1 bath,1,
7.46E+17,44468062,1 shared bath,1,1
26691677,56616801,2 shared baths,1,1
29414633,221574115,1 shared bath,1,1
41153501,322305644,1 bath,1,1
16575852,42076125,1 shared bath,1,1
22238046,162457374,1 private bath,,1
6.75E+17,336332427,1.5 shared baths,1,1
2459916,12577771,1 bath,1,1
13532718,7917224,1 shared bath,1,1
9836960,38064272,1 bath,1,1
31042613,89580862,1.5 shared baths,1,2
31043221,89580862,1.5 shared baths,1,2
43932082,19303369,1 shared bath,1,1
5847182,30357478,1 bath,1,2
10786987,55813598,1 shared bath,1,1
10837039,2252514,1 bath,1,1
16314419,106756395,1 shared bath,1,1
21580765,156592177,1 shared bath,1,1
22683799,3218951,1 shared bath,1,1
22946348,127545011,1 shared bath,1,1
23466360,111782745,1 shared bath,1,1
25909160,144119993,1 shared bath,1,1
26190785,144119993,1 shared bath,1,1
28346019,43044876,1 shared bath,1,1
31332746,221574115,1 shared bath,1,1
32747283,80797299,1 shared bath,1,1
34869203,107234799,1.5 shared baths,,1
47784065,340603785,1 shared bath,1,
50087884,404036280,1 shared bath,,
2082670,10638597,1 bath,1,1
12856992,15445748,1 bath,1,1
16677358,25311040,1 shared bath,1,1
21652744,157599851,1 shared bath,1,1
7224028,5998033,1 bath,1,1
13864705,81953225,1 shared bath,1,1
16465524,40871485,1 shared bath,1,1
17831929,11136995,1 bath,1,1
22245972,162554140,1 shared bath,1,1
22279816,41930087,2 baths,1,1
23869761,29326392,1 shared bath,1,1
26251173,71742050,1.5 shared baths,1,1
29522531,14719992,1 shared bath,1,1
30904692,164692370,2 shared baths,1,1
42046105,14719992,1 shared bath,1,1
43292527,64539969,1 shared bath,1,1
46561833,376513192,1 shared bath,1,1
18870281,131476188,1 shared bath,1,1
20826953,149394434,1 shared bath,1,1
21291783,50455642,1 shared bath,1,2
22151067,161743285,1 shared bath,1,1
43268040,64539969,1 shared bath,1,1
45127521,19303369,1 shared bath,1,1
45235352,200239515,1 shared bath,1,1
48380142,390535864,1 shared bath,1,1
48384560,390535864,1 shared bath,1,1
50313498,3223938,1 shared bath,1,1
53764970,3223938,2 shared baths,1,1
6.14E+17,3223938,2 shared baths,1,1
9768765,50369736,1 bath,1,1
10387852,53477287,2 shared baths,1,1
20708503,148242106,1 shared bath,1,1
21732716,55468128,1 shared bath,1,1
24580129,143070465,1 shared bath,1,1
33615952,28272799,1 shared bath,1,1
43391847,204704622,1 shared bath,1,1
46070335,3223938,2 shared baths,1,1
50166529,3223938,1 shared bath,1,1
50768601,3223938,1 shared bath,1,1
51977461,3223938,1 shared bath,1,1
7.69E+17,489269287,1.5 shared baths,1,1
8402207,44260966,1 shared bath,1,1
8583175,28272799,1 shared bath,1,2
8662610,45513630,2 baths,1,1
9944320,19878684,2 shared baths,1,1
13355711,39644709,1 bath,1,1
13525009,36935244,1.5 shared baths,1,2
13697001,52267190,1 shared bath,1,1
16540563,108781530,1 shared bath,1,1
18485487,3083244,1 shared bath,1,1
20980756,145858413,2 shared baths,1,1
21394596,29883522,1 shared bath,1,1
22259480,78895626,1 shared bath,1,1
22611675,166398662,1 shared bath,1,1
22689135,167250189,1 shared bath,1,1
23484328,6047516,1 shared bath,1,1
25004276,189022543,1 shared bath,1,1
27776926,43044876,1 shared bath,1,1
29923252,43044876,1 shared bath,1,1
30062210,225913497,2 shared baths,1,1
30402045,171673961,1 shared bath,1,1
31568673,236631469,1 shared bath,,1
32591771,19303369,1 shared bath,1,1
32620347,43044876,1 shared bath,1,1
35454285,17224232,1 shared bath,1,1
35907916,116703956,1 shared bath,2,1
40704734,177360125,1 shared bath,1,1
40837137,317770098,1 shared bath,1,1
40872251,124771208,1 private bath,1,1
47069111,3223938,1 shared bath,1,1
47749620,100565897,1 shared bath,1,1
7.66E+17,457828432,1.5 shared baths,1,1
9750308,50291368,1 shared bath,1,1
11673018,53477287,2 baths,1,1
18471276,122294799,1 bath,1,1
23216187,8260418,1 shared bath,1,1
23978220,180347935,1.5 shared baths,1,3
27362309,14621589,1 shared bath,1,1
30255663,58344344,1 shared bath,1,1
33422954,251781156,1 shared bath,1,1
36060386,141764004,1 shared bath,1,1
36980176,278032477,1.5 shared baths,1,1
43374884,19303369,1 shared bath,1,1
45942213,137358866,1.5 shared baths,1,1
48265859,3223938,2 shared baths,1,1
50105157,3223938,2 shared baths,1,1
50695926,3223938,1 shared bath,1,1
53164152,3223938,1 shared bath,1,1
5.69E+17,95344065,1 shared bath,1,1
11059197,57398859,1 bath,1,1
12856987,15445748,,1,
13732394,80336543,1 shared bath,1,1
14044731,47260217,1 bath,1,1
19073760,91718195,1 shared bath,1,1
19190801,24913451,1 shared bath,1,1
19508209,127925141,1 shared bath,1,1
